Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20231004,0.77,-0.28,-0.39,0.021,0.0073,0.0178,0.0212,0.0183,0.012,-0.0137,-0.0032,0.0002,-0.0027,-0.009
20231003,-1.5,-0.33,-0.14,0.021,-0.0078,-0.0261,-0.013,-0.0366,-0.0282,-0.0288,-0.0471,-0.034,-0.0576,-0.0492
20231002,-0.14,-0.92,-1.05,0.021,0.0148,0.0192,0.0253,0.0184,0.0295,-0.0062,-0.0018,0.0043,-0.0026,0.0085
20230929,-0.27,-0.03,0.3,0.021,0.003,0.0067,-0.011,0.009,0.0095,-0.018,-0.0143,-0.032,-0.012,-0.0115
20230928,0.65,0.16,0.03,0.021,0.0015,0.0027,0.0136,0,0.0146,-0.0195,-0.0183,-0.0074,-0.021,-0.0064
20230927,0.13,0.69,0.12,0.021,-0.0089,0.0021,0.0154,0,0.0133,-0.0299,-0.0189,-0.0056,-0.021,-0.0077
20230926,-1.46,0.39,-0.5,0.021,-0.0234,-0.017,-0.0194,-0.0403,-0.0074,-0.0444,-0.038,-0.0404,-0.0613,-0.0284
20230925,0.39,-0.11,0.35,0.021,0.0074,0.0017,0.0066,0.0167,0.0147,-0.0136,-0.0193,-0.0144,-0.0043,-0.0063
20230922,-0.25,0.02,-0.5,0.021,0.0049,-0.0079,-0.0015,-0.0016,0.0145,-0.0161,-0.0289,-0.0225,-0.0226,-0.0065
20230921,-1.69,0.19,0.38,0.021,-0.0089,-0.0039,-0.0247,-0.0441,-0.0289,-0.0299,-0.0249,-0.0457,-0.0651,-0.0499
20230920,-0.95,-0.1,0.27,0.021,-0.02,-0.024,-0.0312,-0.017,-0.0294,-0.041,-0.045,-0.0522,-0.038,-0.0504
20230919,-0.27,-0.12,-0.01,0.021,0.0062,-0.0012,-0.0012,-0.0168,-0.0101,-0.0148,-0.0222,-0.0222,-0.0378,-0.0311
